Area,Year,Age,Education,Distribution
Albania,2015,40--64,Post Secondary,0.10
Albania,2015,40--64,Primary,0.03
Albania,2015,40--64,Total,1.00
Albania,2015,40--64,Under 15,0.00
Albania,2015,40--64,Upper Secondary,0.43
Albania,2015,60+,Incomplete Primary,0.01
Albania,2015,60+,Lower Secondary,0.34
Albania,2015,60+,No Education,0.07
Albania,2015,60+,Post Secondary,0.10
Albania,2015,60+,Primary,0.22
Albania,2015,60+,Total,1.00
Albania,2015,60+,Under 15,0.00
Albania,2015,60+,Upper Secondary,0.26
Albania,2015,65+,Incomplete Primary,0.01
Albania,2015,65+,Lower Secondary,0.32
Albania,2015,65+,No Education,0.09
Albania,2015,65+,Post Secondary,0.09
Albania,2015,65+,Primary,0.28
Albania,2015,65+,Total,1.00
Albania,2015,65+,Under 15,0.00
Albania,2015,65+,Upper Secondary,0.22
Albania,2015,80+,Incomplete Primary,0.03
Albania,2015,80+,Lower Secondary,0.17
Albania,2015,80+,No Education,0.29
Albania,2015,80+,Post Secondary,0.04
Albania,2015,80+,Primary,0.32
Albania,2015,80+,Total,1.00
Albania,2015,80+,Under 15,0.00
Albania,2015,80+,Upper Secondary,0.15
Albania,2015,All,Incomplete Primary,0.00
Albania,2015,All,Lower Secondary,0.35
Albania,2015,All,No Education,0.02
Albania,2015,All,Post Secondary,0.07
Albania,2015,All,Primary,0.05
Albania,2015,All,Total,1.00
Albania,2015,All,Under 15,0.20
Albania,2015,All,Upper Secondary,0.32
Algeria,2015,15+,Incomplete Primary,0.04
Algeria,2015,15+,Lower Secondary,0.29
Algeria,2015,15+,No Education,0.16
Algeria,2015,15+,Post Secondary,0.12
Algeria,2015,15+,Primary,0.10
Algeria,2015,15+,Total,1.00
Algeria,2015,15+,Under 15,0.00
Algeria,2015,15+,Upper Secondary,0.29
Algeria,2015,20--39,Incomplete Primary,0.02
Algeria,2015,20--39,Lower Secondary,0.31
Algeria,2015,20--39,No Education,0.05
Algeria,2015,20--39,Post Secondary,0.19
Algeria,2015,20--39,Primary,0.08
Algeria,2015,20--39,Total,1.00
Algeria,2015,20--39,Under 15,0.00
Algeria,2015,20--39,Upper Secondary,0.36
Algeria,2015,20--64,Incomplete Primary,0.04
Algeria,2015,20--64,Lower Secondary,0.29
Algeria,2015,20--64,No Education,0.13
Algeria,2015,20--64,Post Secondary,0.14
Algeria,2015,20--64,Primary,0.11
Algeria,2015,20--64,Total,1.00
Algeria,2015,20--64,Under 15,0.00
Algeria,2015,20--64,Upper Secondary,0.30
Algeria,2015,25+,Incomplete Primary,0.04
Algeria,2015,25+,Lower Secondary,0.26
Algeria,2015,25+,No Education,0.20
Algeria,2015,25+,Post Secondary,0.12
Algeria,2015,25+,Primary,0.11
Algeria,2015,25+,Total,1.00
Algeria,2015,25+,Under 15,0.00
Algeria,2015,25+,Upper Secondary,0.27
Algeria,2015,40--64,Incomplete Primary,0.06
Algeria,2015,40--64,Lower Secondary,0.26
Algeria,2015,40--64,No Education,0.26
Algeria,2015,40--64,Post Secondary,0.07
Algeria,2015,40--64,Primary,0.15
Algeria,2015,40--64,Total,1.00
Algeria,2015,40--64,Under 15,0.00
Algeria,2015,40--64,Upper Secondary,0.21
Algeria,2015,60+,Incomplete Primary,0.06
Algeria,2015,60+,Lower Secondary,0.11
Algeria,2015,60+,No Education,0.61
Algeria,2015,60+,Post Secondary,0.03
Algeria,2015,60+,Primary,0.12
Algeria,2015,60+,Total,1.00
Algeria,2015,60+,Under 15,0.00
Algeria,2015,60+,Upper Secondary,0.06
Algeria,2015,65+,Incomplete Primary,0.06
Algeria,2015,65+,Lower Secondary,0.08
Algeria,2015,65+,No Education,0.69
Algeria,2015,65+,Post Secondary,0.03
Algeria,2015,65+,Primary,0.10
Algeria,2015,65+,Total,1.00
Algeria,2015,65+,Under 15,0.00
Algeria,2015,65+,Upper Secondary,0.05
Algeria,2015,80+,Incomplete Primary,0.03
Algeria,2015,80+,Lower Secondary,0.03
Algeria,2015,80+,No Education,0.89
Algeria,2015,80+,Post Secondary,0.01
Algeria,2015,80+,Primary,0.04
Algeria,2015,80+,Total,1.00
Algeria,2015,80+,Under 15,0.00
Algeria,2015,80+,Upper Secondary,0.01
Algeria,2015,All,Incomplete Primary,0.03
Algeria,2015,All,Lower Secondary,0.21
Algeria,2015,All,No Education,0.12
Algeria,2015,All,Post Secondary,0.09
Algeria,2015,All,Primary,0.07
Algeria,2015,All,Total,1.00
Algeria,2015,All,Under 15,0.26
Algeria,2015,All,Upper Secondary,0.22
Angola,2015,15+,Incomplete Primary,0.23
Angola,2015,15+,Lower Secondary,0.22
Angola,2015,15+,No Education,0.19
Angola,2015,15+,Post Secondary,0.03
Angola,2015,15+,Primary,0.23
Angola,2015,15+,Total,1.00
Angola,2015,15+,Under 15,0.00
Angola,2015,15+,Upper Secondary,0.10
Angola,2015,20--39,Incomplete Primary,0.20
Angola,2015,20--39,Lower Secondary,0.24
Angola,2015,20--39,No Education,0.16
Angola,2015,20--39,Post Secondary,0.04
Angola,2015,20--39,Primary,0.23
Angola,2015,20--39,Total,1.00
Angola,2015,20--39,Under 15,0.00
Angola,2015,20--39,Upper Secondary,0.13
Angola,2015,20--64,Incomplete Primary,0.21
Angola,2015,20--64,Lower Secondary,0.23
Angola,2015,20--64,No Education,0.19
Angola,2015,20--64,Post Secondary,0.04
Angola,2015,20--64,Primary,0.21
Angola,2015,20--64,Total,1.00
Angola,2015,20--64,Under 15,0.00
Angola,2015,20--64,Upper Secondary,0.12
Angola,2015,25+,Incomplete Primary,0.20
Angola,2015,25+,Lower Secondary,0.20
Angola,2015,25+,No Education,0.23
Angola,2015,25+,Post Secondary,0.04
Angola,2015,25+,Primary,0.20
Angola,2015,25+,Total,1.00
Angola,2015,25+,Under 15,0.00
Angola,2015,25+,Upper Secondary,0.12
Angola,2015,40--64,Incomplete Primary,0.22
Angola,2015,40--64,Lower Secondary,0.19
Angola,2015,40--64,No Education,0.26
Angola,2015,40--64,Post Secondary,0.04
Angola,2015,40--64,Primary,0.18
Angola,2015,40--64,Total,1.00
Angola,2015,40--64,Under 15,0.00
Angola,2015,40--64,Upper Secondary,0.11
Angola,2015,60+,Incomplete Primary,0.21
Angola,2015,60+,Lower Secondary,0.10
Angola,2015,60+,No Education,0.49
Angola,2015,60+,Post Secondary,0.03
Angola,2015,60+,Primary,0.11
Angola,2015,60+,Total,1.00
Angola,2015,60+,Under 15,0.00
Angola,2015,60+,Upper Secondary,0.05
Angola,2015,65+,Incomplete Primary,0.21
Angola,2015,65+,Lower Secondary,0.09
Angola,2015,65+,No Education,0.55
Angola,2015,65+,Post Secondary,0.02
Angola,2015,65+,Primary,0.09
Angola,2015,65+,Total,1.00
Angola,2015,65+,Under 15,0.00
Angola,2015,65+,Upper Secondary,0.04
Angola,2015,80+,Incomplete Primary,0.16
Angola,2015,80+,Lower Secondary,0.04
Angola,2015,80+,No Education,0.72
Angola,2015,80+,Post Secondary,0.01
Angola,2015,80+,Primary,0.05
Angola,2015,80+,Total,1.00
Angola,2015,80+,Under 15,0.00
Angola,2015,80+,Upper Secondary,0.02
Angola,2015,All,Incomplete Primary,0.13
Angola,2015,All,Lower Secondary,0.12
Angola,2015,All,No Education,0.11
Angola,2015,All,Post Secondary,0.02
Angola,2015,All,Primary,0.12
Angola,2015,All,Total,1.00
Angola,2015,All,Under 15,0.45
Angola,2015,All,Upper Secondary,0.05
Argentina,2015,15+,Incomplete Primary,0.09
Argentina,2015,15+,Lower Secondary,0.19
Argentina,2015,15+,No Education,0.02
Argentina,2015,15+,Post Secondary,0.13
Argentina,2015,15+,Primary,0.26
Argentina,2015,15+,Total,1.00
Argentina,2015,15+,Under 15,0.00
Argentina,2015,15+,Upper Secondary,0.32
Argentina,2015,20--39,Incomplete Primary,0.04
Argentina,2015,20--39,Lower Secondary,0.15
Argentina,2015,20--39,No Education,0.01
Argentina,2015,20--39,Post Secondary,0.15
Argentina,2015,20--39,Primary,0.22
Argentina,2015,20--39,Total,1.00
Argentina,2015,20--39,Under 15,0.00
Argentina,2015,20--39,Upper Secondary,0.43
Argentina,2015,20--64,Incomplete Primary,0.07
Argentina,2015,20--64,Lower Secondary,0.15
Argentina,2015,20--64,No Education,0.02
Argentina,2015,20--64,Post Secondary,0.15
Argentina,2015,20--64,Primary,0.25
Argentina,2015,20--64,Total,1.00
Argentina,2015,20--64,Under 15,0.00
Argentina,2015,20--64,Upper Secondary,0.36
Argentina,2015,25+,Incomplete Primary,0.10
Argentina,2015,25+,Lower Secondary,0.13
Argentina,2015,25+,No Education,0.03
Argentina,2015,25+,Post Secondary,0.15
Argentina,2015,25+,Primary,0.28
Argentina,2015,25+,Total,1.00
Argentina,2015,25+,Under 15,0.00
Argentina,2015,25+,Upper Secondary,0.31
Argentina,2015,40--64,Incomplete Primary,0.10
Argentina,2015,40--64,Lower Secondary,0.15
Argentina,2015,40--64,No Education,0.03
Argentina,2015,40--64,Post Secondary,0.15
Argentina,2015,40--64,Primary,0.30
Argentina,2015,40--64,Total,1.00
Argentina,2015,40--64,Under 15,0.00
Argentina,2015,40--64,Upper Secondary,0.28
Argentina,2015,60+,Incomplete Primary,0.20
Argentina,2015,60+,Lower Secondary,0.10
Argentina,2015,60+,No Education,0.05
Argentina,2015,60+,Post Secondary,0.10
Argentina,2015,60+,Primary,0.36
Argentina,2015,60+,Total,1.00
Argentina,2015,60+,Under 15,0.00
Argentina,2015,60+,Upper Secondary,0.20
Argentina,2015,65+,Incomplete Primary,0.22
Argentina,2015,65+,Lower Secondary,0.09
Argentina,2015,65+,No Education,0.06
Argentina,2015,65+,Post Secondary,0.09
Argentina,2015,65+,Primary,0.36
Argentina,2015,65+,Total,1.00
Argentina,2015,65+,Under 15,0.00
Argentina,2015,65+,Upper Secondary,0.18
Argentina,2015,80+,Incomplete Primary,0.28
Argentina,2015,80+,Lower Secondary,0.06
Argentina,2015,80+,No Education,0.07
Argentina,2015,80+,Post Secondary,0.06
Argentina,2015,80+,Primary,0.38
Argentina,2015,80+,Total,1.00
Argentina,2015,80+,Under 15,0.00
Argentina,2015,80+,Upper Secondary,0.14
Argentina,2015,All,Incomplete Primary,0.07
Argentina,2015,All,Lower Secondary,0.14
Argentina,2015,All,No Education,0.02
Argentina,2015,All,Post Secondary,0.10
Argentina,2015,All,Primary,0.20
Argentina,2015,All,Total,1.00
Argentina,2015,All,Under 15,0.24
Argentina,2015,All,Upper Secondary,0.24
Armenia,2015,15+,Incomplete Primary,0.00
Armenia,2015,15+,Lower Secondary,0.10
Armenia,2015,15+,No Education,0.01
Armenia,2015,15+,Post Secondary,0.21
Armenia,2015,15+,Primary,0.02
Armenia,2015,15+,Total,1.00
Armenia,2015,15+,Under 15,0.00
Armenia,2015,15+,Upper Secondary,0.66
Armenia,2015,20--39,Incomplete Primary,0.00
Armenia,2015,20--39,Lower Secondary,0.05
Armenia,2015,20--39,No Education,0.00
Armenia,2015,20--39,Post Secondary,0.23
Armenia,2015,20--39,Primary,0.01
Armenia,2015,20--39,Total,1.00
Armenia,2015,20--39,Under 15,0.00
Armenia,2015,20--39,Upper Secondary,0.71
Armenia,2015,20--64,Incomplete Primary,0.00
Armenia,2015,20--64,Lower Secondary,0.06
Armenia,2015,20--64,No Education,0.00
Armenia,2015,20--64,Post Secondary,0.23
Armenia,2015,20--64,Primary,0.01
Armenia,2015,20--64,Total,1.00
Armenia,2015,20--64,Under 15,0.00
Armenia,2015,20--64,Upper Secondary,0.70
Armenia,2015,25+,Incomplete Primary,0.00
Armenia,2015,25+,Lower Secondary,0.07
Armenia,2015,25+,No Education,0.01
Armenia,2015,25+,Post Secondary,0.23
Armenia,2015,25+,Primary,0.02
Armenia,2015,25+,Total,1.00
Armenia,2015,25+,Under 15,0.00
Armenia,2015,25+,Upper Secondary,0.67
Armenia,2015,40--64,Incomplete Primary,0.00
Armenia,2015,40--64,Lower Secondary,0.06
Armenia,2015,40--64,No Education,0.00
Armenia,2015,40--64,Post Secondary,0.22
Armenia,2015,40--64,Primary,0.01
Armenia,2015,40--64,Total,1.00
Armenia,2015,40--64,Under 15,0.00
Armenia,2015,40--64,Upper Secondary,0.70
Armenia,2015,60+,Incomplete Primary,0.01
Armenia,2015,60+,Lower Secondary,0.11
Armenia,2015,60+,No Education,0.02
Armenia,2015,60+,Post Secondary,0.21
Armenia,2015,60+,Primary,0.07
Armenia,2015,60+,Total,1.00
Armenia,2015,60+,Under 15,0.00
Armenia,2015,60+,Upper Secondary,0.57
Armenia,2015,65+,Incomplete Primary,0.02
Armenia,2015,65+,Lower Secondary,0.13
Armenia,2015,65+,No Education,0.03
Armenia,2015,65+,Post Secondary,0.20
Armenia,2015,65+,Primary,0.10
Armenia,2015,65+,Total,1.00
Armenia,2015,65+,Under 15,0.00
Armenia,2015,65+,Upper Secondary,0.52
Armenia,2015,80+,Incomplete Primary,0.04
Armenia,2015,80+,Lower Secondary,0.17
Armenia,2015,80+,No Education,0.07
Armenia,2015,80+,Post Secondary,0.13
Armenia,2015,80+,Primary,0.19
Armenia,2015,80+,Total,1.00
Armenia,2015,80+,Under 15,0.00
Armenia,2015,80+,Upper Secondary,0.41
Armenia,2015,All,Incomplete Primary,0.00
Armenia,2015,All,Lower Secondary,0.08
Armenia,2015,All,No Education,0.00
Armenia,2015,All,Post Secondary,0.17
Armenia,2015,All,Primary,0.02
Armenia,2015,All,Total,1.00
Armenia,2015,All,Under 15,0.20
Armenia,2015,All,Upper Secondary,0.53
Aruba,2015,15+,Incomplete Primary,0.05
Aruba,2015,15+,Lower Secondary,0.33
Aruba,2015,15+,No Education,0.06
Aruba,2015,15+,Post Secondary,0.22
Aruba,2015,15+,Primary,0.21
Aruba,2015,15+,Total,1.00
Aruba,2015,15+,Under 15,0.00
Aruba,2015,15+,Upper Secondary,0.13
Aruba,2015,20--39,Incomplete Primary,0.02
Aruba,2015,20--39,Lower Secondary,0.34
Aruba,2015,20--39,No Education,0.02
Aruba,2015,20--39,Post Secondary,0.25
Aruba,2015,20--39,Primary,0.18
Aruba,2015,20--39,Total,1.00
Aruba,2015,20--39,Under 15,0.00
Aruba,2015,20--39,Upper Secondary,0.19
Aruba,2015,20--64,Incomplete Primary,0.04
Aruba,2015,20--64,Lower Secondary,0.32
Aruba,2015,20--64,No Education,0.05
Aruba,2015,20--64,Post Secondary,0.25
Aruba,2015,20--64,Primary,0.20
Aruba,2015,20--64,Total,1.00
Aruba,2015,20--64,Under 15,0.00
Aruba,2015,20--64,Upper Secondary,0.14
Aruba,2015,25+,Incomplete Primary,0.06
Aruba,2015,25+,Lower Secondary,0.30
Aruba,2015,25+,No Education,0.07
Aruba,2015,25+,Post Secondary,0.26
Aruba,2015,25+,Primary,0.22
Aruba,2015,25+,Total,1.00
Aruba,2015,25+,Under 15,0.00
Aruba,2015,25+,Upper Secondary,0.10
Aruba,2015,40--64,Incomplete Primary,0.06
Aruba,2015,40--64,Lower Secondary,0.31
Aruba,2015,40--64,No Education,0.07
Aruba,2015,40--64,Post Secondary,0.25
Aruba,2015,40--64,Primary,0.21
Aruba,2015,40--64,Total,1.00
Aruba,2015,40--64,Under 15,0.00
Aruba,2015,40--64,Upper Secondary,0.10
Aruba,2015,60+,Incomplete Primary,0.13
Aruba,2015,60+,Lower Secondary,0.26
Aruba,2015,60+,No Education,0.14
Aruba,2015,60+,Post Secondary,0.16
Aruba,2015,60+,Primary,0.27
Aruba,2015,60+,Total,1.00
Aruba,2015,60+,Under 15,0.00
Aruba,2015,60+,Upper Secondary,0.04
Aruba,2015,65+,Incomplete Primary,0.16
Aruba,2015,65+,Lower Secondary,0.23
Aruba,2015,65+,No Education,0.16
Aruba,2015,65+,Post Secondary,0.14
Aruba,2015,65+,Primary,0.28
Aruba,2015,65+,Total,1.00
Aruba,2015,65+,Under 15,0.00
Aruba,2015,65+,Upper Secondary,0.03
Aruba,2015,80+,Incomplete Primary,0.22
Aruba,2015,80+,Lower Secondary,0.14
Aruba,2015,80+,No Education,0.25
Aruba,2015,80+,Post Secondary,0.07
Aruba,2015,80+,Primary,0.30
Aruba,2015,80+,Total,1.00
Aruba,2015,80+,Under 15,0.00
Aruba,2015,80+,Upper Secondary,0.02
Aruba,2015,All,Incomplete Primary,0.04
Aruba,2015,All,Lower Secondary,0.28
Aruba,2015,All,No Education,0.05
Aruba,2015,All,Post Secondary,0.18
Aruba,2015,All,Primary,0.17
Aruba,2015,All,Total,1.00
Aruba,2015,All,Under 15,0.17
Aruba,2015,All,Upper Secondary,0.11
Australia,2015,15+,Incomplete Primary,0.01
Australia,2015,15+,Lower Secondary,0.15
Australia,2015,15+,No Education,0.01
Australia,2015,15+,Post Secondary,0.32
Australia,2015,15+,Primary,0.08
Australia,2015,15+,Total,1.00
Australia,2015,15+,Under 15,0.00
Australia,2015,15+,Upper Secondary,0.44
Australia,2015,20--39,Incomplete Primary,0.00
Australia,2015,20--39,Lower Secondary,0.08
Australia,2015,20--39,No Education,0.00
Australia,2015,20--39,Post Secondary,0.40
Australia,2015,20--39,Primary,0.02
Australia,2015,20--39,Total,1.00
Australia,2015,20--39,Under 15,0.00
Australia,2015,20--39,Upper Secondary,0.50
Australia,2015,20--64,Incomplete Primary,0.00
Australia,2015,20--64,Lower Secondary,0.12
Australia,2015,20--64,No Education,0.00
Australia,2015,20--64,Post Secondary,0.37
Australia,2015,20--64,Primary,0.05
Australia,2015,20--64,Total,1.00
Australia,2015,20--64,Under 15,0.00
Australia,2015,20--64,Upper Secondary,0.45
Australia,2015,25+,Incomplete Primary,0.01
Australia,2015,25+,Lower Secondary,0.14
Australia,2015,25+,No Education,0.01
Australia,2015,25+,Post Secondary,0.35
Australia,2015,25+,Primary,0.10
Australia,2015,25+,Total,1.00
Australia,2015,25+,Under 15,0.00
Australia,2015,25+,Upper Secondary,0.40
Australia,2015,40--64,Incomplete Primary,0.01
Australia,2015,40--64,Lower Secondary,0.16
Australia,2015,40--64,No Education,0.01
Australia,2015,40--64,Post Secondary,0.35
Australia,2015,40--64,Primary,0.08
Australia,2015,40--64,Total,1.00
Australia,2015,40--64,Under 15,0.00
Australia,2015,40--64,Upper Secondary,0.40
Australia,2015,60+,Incomplete Primary,0.02
Australia,2015,60+,Lower Secondary,0.18
Australia,2015,60+,No Education,0.01
Australia,2015,60+,Post Secondary,0.26
Australia,2015,60+,Primary,0.21
Australia,2015,60+,Total,1.00
Australia,2015,60+,Under 15,0.00
Australia,2015,60+,Upper Secondary,0.32
Australia,2015,65+,Incomplete Primary,0.02
Australia,2015,65+,Lower Secondary,0.19
Australia,2015,65+,No Education,0.01
Australia,2015,65+,Post Secondary,0.24
Australia,2015,65+,Primary,0.24
Australia,2015,65+,Total,1.00
Australia,2015,65+,Under 15,0.00
Australia,2015,65+,Upper Secondary,0.30
Australia,2015,80+,Incomplete Primary,0.03
Australia,2015,80+,Lower Secondary,0.18
Australia,2015,80+,No Education,0.01
Australia,2015,80+,Post Secondary,0.20
Australia,2015,80+,Primary,0.33
Australia,2015,80+,Total,1.00
Australia,2015,80+,Under 15,0.00
Australia,2015,80+,Upper Secondary,0.25
Australia,2015,All,Incomplete Primary,0.01
Australia,2015,All,Lower Secondary,0.12
Australia,2015,All,No Education,0.00
Australia,2015,All,Post Secondary,0.26
Australia,2015,All,Primary,0.07
Australia,2015,All,Total,1.00
Australia,2015,All,Under 15,0.18
Australia,2015,All,Upper Secondary,0.36
Austria,2015,15+,Incomplete Primary,0.00
Austria,2015,15+,Lower Secondary,0.23
Austria,2015,15+,No Education,0.00
Austria,2015,15+,Post Secondary,0.25
Austria,2015,15+,Primary,0.03
Austria,2015,15+,Total,1.00
Austria,2015,15+,Under 15,0.00
Austria,2015,15+,Upper Secondary,0.49
Austria,2015,20--39,Incomplete Primary,0.00
Austria,2015,20--39,Lower Secondary,0.12
Austria,2015,20--39,No Education,0.00
Austria,2015,20--39,Post Secondary,0.35
Austria,2015,20--39,Primary,0.01
Austria,2015,20--39,Total,1.00
Austria,2015,20--39,Under 15,0.00
Austria,2015,20--39,Upper Secondary,0.51
Austria,2015,20--64,Incomplete Primary,0.00
Austria,2015,20--64,Lower Secondary,0.15
Austria,2015,20--64,No Education,0.00
Austria,2015,20--64,Post Secondary,0.30
Austria,2015,20--64,Primary,0.02
Austria,2015,20--64,Total,1.00
Austria,2015,20--64,Under 15,0.00
Austria,2015,20--64,Upper Secondary,0.53
Austria,2015,25+,Incomplete Primary,0.00
Austria,2015,25+,Lower Secondary,0.21
Austria,2015,25+,No Education,0.00
Austria,2015,25+,Post Secondary,0.26
Austria,2015,25+,Primary,0.03
Austria,2015,25+,Total,1.00
Austria,2015,25+,Under 15,0.00
Austria,2015,25+,Upper Secondary,0.50
Austria,2015,40--64,Incomplete Primary,0.00
Austria,2015,40--64,Lower Secondary,0.18
Austria,2015,40--64,No Education,0.00
Austria,2015,40--64,Post Secondary,0.26
Austria,2015,40--64,Primary,0.02
Austria,2015,40--64,Total,1.00
Austria,2015,40--64,Under 15,0.00
Austria,2015,40--64,Upper Secondary,0.54
Austria,2015,60+,Incomplete Primary,0.00
Austria,2015,60+,Lower Secondary,0.34
Austria,2015,60+,No Education,0.00
Austria,2015,60+,Post Secondary,0.16
Austria,2015,60+,Primary,0.04
Austria,2015,60+,Total,1.00
Austria,2015,60+,Under 15,0.00
Austria,2015,60+,Upper Secondary,0.46
Austria,2015,65+,Incomplete Primary,0.00
Austria,2015,65+,Lower Secondary,0.37
Austria,2015,65+,No Education,0.00
Austria,2015,65+,Post Secondary,0.14
Austria,2015,65+,Primary,0.04
Austria,2015,65+,Total,1.00
Austria,2015,65+,Under 15,0.00
Austria,2015,65+,Upper Secondary,0.44
Austria,2015,80+,Incomplete Primary,0.00
Austria,2015,80+,Lower Secondary,0.50
Austria,2015,80+,No Education,0.00
Austria,2015,80+,Post Secondary,0.11
Austria,2015,80+,Primary,0.05
Austria,2015,80+,Total,1.00
Austria,2015,80+,Under 15,0.00
Austria,2015,80+,Upper Secondary,0.35
Austria,2015,All,Incomplete Primary,0.00
Austria,2015,All,Lower Secondary,0.20
Austria,2015,All,No Education,0.00
Austria,2015,All,Post Secondary,0.21
Austria,2015,All,Primary,0.03
Austria,2015,All,Total,1.00
Austria,2015,All,Under 15,0.14
Austria,2015,All,Upper Secondary,0.42
Azerbaijan,2015,15+,Incomplete Primary,0.01
Azerbaijan,2015,15+,Lower Secondary,0.15
Azerbaijan,2015,15+,No Education,0.01
Azerbaijan,2015,15+,Post Secondary,0.15
Azerbaijan,2015,15+,Primary,0.05
Azerbaijan,2015,15+,Total,1.00
Azerbaijan,2015,15+,Under 15,0.00
Azerbaijan,2015,15+,Upper Secondary,0.63
Azerbaijan,2015,20--39,Incomplete Primary,0.00
Azerbaijan,2015,20--39,Lower Secondary,0.14
Azerbaijan,2015,20--39,No Education,0.00
Azerbaijan,2015,20--39,Post Secondary,0.19
Azerbaijan,2015,20--39,Primary,0.05
Azerbaijan,2015,20--39,Total,1.00
