Area,Year,Age,Education,Distribution
Afghanistan,2015,70--74,Primary,0.12
Afghanistan,2015,70--74,Total,1.00
Afghanistan,2015,70--74,Under 15,0.00
Afghanistan,2015,70--74,Upper Secondary,0.10
Afghanistan,2015,75--79,Incomplete Primary,0.09
Afghanistan,2015,75--79,Lower Secondary,0.05
Afghanistan,2015,75--79,No Education,0.64
Afghanistan,2015,75--79,Post Secondary,0.04
Afghanistan,2015,75--79,Primary,0.10
Afghanistan,2015,75--79,Total,1.00
Afghanistan,2015,75--79,Under 15,0.00
Afghanistan,2015,75--79,Upper Secondary,0.08
Afghanistan,2015,80--84,Incomplete Primary,0.10
Afghanistan,2015,80--84,Lower Secondary,0.04
Afghanistan,2015,80--84,No Education,0.66
Afghanistan,2015,80--84,Post Secondary,0.03
Afghanistan,2015,80--84,Primary,0.10
Afghanistan,2015,80--84,Total,1.00
Afghanistan,2015,80--84,Under 15,0.00
Afghanistan,2015,80--84,Upper Secondary,0.06
Afghanistan,2015,85--89,Incomplete Primary,0.09
Afghanistan,2015,85--89,Lower Secondary,0.04
Afghanistan,2015,85--89,No Education,0.70
Afghanistan,2015,85--89,Post Secondary,0.02
Afghanistan,2015,85--89,Primary,0.09
Afghanistan,2015,85--89,Total,1.00
Afghanistan,2015,85--89,Under 15,0.00
Afghanistan,2015,85--89,Upper Secondary,0.05
Afghanistan,2015,90--94,Incomplete Primary,0.10
Afghanistan,2015,90--94,Lower Secondary,0.04
Afghanistan,2015,90--94,No Education,0.69
Afghanistan,2015,90--94,Post Secondary,0.02
Afghanistan,2015,90--94,Primary,0.10
Afghanistan,2015,90--94,Total,1.00
Afghanistan,2015,90--94,Under 15,0.00
Afghanistan,2015,90--94,Upper Secondary,0.05
Afghanistan,2015,95--99,Incomplete Primary,0.10
Afghanistan,2015,95--99,Lower Secondary,0.03
Afghanistan,2015,95--99,No Education,0.73
Afghanistan,2015,95--99,Post Secondary,0.02
Afghanistan,2015,95--99,Primary,0.09
Afghanistan,2015,95--99,Total,1.00
Afghanistan,2015,95--99,Under 15,0.00
Afghanistan,2015,95--99,Upper Secondary,0.04
Albania,2015,100+,Incomplete Primary,0.01
Albania,2015,100+,Lower Secondary,0.02
Albania,2015,100+,No Education,0.84
Albania,2015,100+,Post Secondary,0.01
Albania,2015,100+,Primary,0.10
Albania,2015,100+,Total,1.00
Albania,2015,100+,Under 15,0.00
Albania,2015,100+,Upper Secondary,0.02
Albania,2015,15--19,Incomplete Primary,0.00
Albania,2015,15--19,Lower Secondary,0.84
Albania,2015,15--19,No Education,0.01
Albania,2015,15--19,Post Secondary,0.00
Albania,2015,15--19,Primary,0.04
Albania,2015,15--19,Total,1.00
Albania,2015,15--19,Under 15,0.00
Albania,2015,15--19,Upper Secondary,0.11
Albania,2015,20--24,Incomplete Primary,0.00
Albania,2015,20--24,Lower Secondary,0.54
Albania,2015,20--24,No Education,0.01
Albania,2015,20--24,Post Secondary,0.05
Albania,2015,20--24,Primary,0.03
Albania,2015,20--24,Total,1.00
Albania,2015,20--24,Under 15,0.00
Albania,2015,20--24,Upper Secondary,0.37
Albania,2015,25--29,Incomplete Primary,0.00
Albania,2015,25--29,Lower Secondary,0.39
Albania,2015,25--29,No Education,0.01
Albania,2015,25--29,Post Secondary,0.10
Albania,2015,25--29,Primary,0.01
Albania,2015,25--29,Total,1.00
Albania,2015,25--29,Under 15,0.00
Albania,2015,25--29,Upper Secondary,0.49
Albania,2015,30--34,Incomplete Primary,0.00
Albania,2015,30--34,Lower Secondary,0.29
Albania,2015,30--34,No Education,0.00
Albania,2015,30--34,Post Secondary,0.11
Albania,2015,30--34,Primary,0.02
Albania,2015,30--34,Total,1.00
Albania,2015,30--34,Under 15,0.00
Albania,2015,30--34,Upper Secondary,0.58
Albania,2015,35--39,Incomplete Primary,0.00
Albania,2015,35--39,Lower Secondary,0.33
Albania,2015,35--39,No Education,0.00
Albania,2015,35--39,Post Secondary,0.10
Albania,2015,35--39,Primary,0.02
Albania,2015,35--39,Total,1.00
Albania,2015,35--39,Under 15,0.00
Albania,2015,35--39,Upper Secondary,0.53
Albania,2015,40--44,Incomplete Primary,0.00
Albania,2015,40--44,Lower Secondary,0.38
Albania,2015,40--44,No Education,0.01
Albania,2015,40--44,Post Secondary,0.10
Albania,2015,40--44,Primary,0.03
Albania,2015,40--44,Total,1.00
Albania,2015,40--44,Under 15,0.00
Albania,2015,40--44,Upper Secondary,0.49
Albania,2015,45--49,Incomplete Primary,0.00
Albania,2015,45--49,Lower Secondary,0.44
Albania,2015,45--49,No Education,0.01
Albania,2015,45--49,Post Secondary,0.09
Albania,2015,45--49,Primary,0.02
Albania,2015,45--49,Total,1.00
Albania,2015,45--49,Under 15,0.00
Albania,2015,45--49,Upper Secondary,0.44
Albania,2015,50--54,Incomplete Primary,0.00
Albania,2015,50--54,Lower Secondary,0.47
Albania,2015,50--54,No Education,0.01
Albania,2015,50--54,Post Secondary,0.09
Albania,2015,50--54,Primary,0.01
Albania,2015,50--54,Total,1.00
Albania,2015,50--54,Under 15,0.00
Albania,2015,50--54,Upper Secondary,0.41
Albania,2015,55--59,Incomplete Primary,0.00
Albania,2015,55--59,Lower Secondary,0.44
Albania,2015,55--59,No Education,0.01
Albania,2015,55--59,Post Secondary,0.09
Albania,2015,55--59,Primary,0.03
Albania,2015,55--59,Total,1.00
Albania,2015,55--59,Under 15,0.00
Albania,2015,55--59,Upper Secondary,0.43
Albania,2015,60--64,Incomplete Primary,0.00
Albania,2015,60--64,Lower Secondary,0.39
Albania,2015,60--64,No Education,0.01
Albania,2015,60--64,Post Secondary,0.14
Albania,2015,60--64,Primary,0.08
Albania,2015,60--64,Total,1.00
Albania,2015,60--64,Under 15,0.00
Albania,2015,60--64,Upper Secondary,0.38
Albania,2015,65--69,Incomplete Primary,0.00
Albania,2015,65--69,Lower Secondary,0.42
Albania,2015,65--69,No Education,0.02
Albania,2015,65--69,Post Secondary,0.11
Albania,2015,65--69,Primary,0.17
Albania,2015,65--69,Total,1.00
Albania,2015,65--69,Under 15,0.00
Albania,2015,65--69,Upper Secondary,0.28
Albania,2015,70--74,Incomplete Primary,0.01
Albania,2015,70--74,Lower Secondary,0.33
Albania,2015,70--74,No Education,0.04
Albania,2015,70--74,Post Secondary,0.11
Albania,2015,70--74,Primary,0.29
Albania,2015,70--74,Total,1.00
Albania,2015,70--74,Under 15,0.00
Albania,2015,70--74,Upper Secondary,0.22
Albania,2015,75--79,Incomplete Primary,0.02
Albania,2015,75--79,Lower Secondary,0.28
Albania,2015,75--79,No Education,0.08
Albania,2015,75--79,Post Secondary,0.07
Albania,2015,75--79,Primary,0.38
Albania,2015,75--79,Total,1.00
Albania,2015,75--79,Under 15,0.00
Albania,2015,75--79,Upper Secondary,0.17
Albania,2015,80--84,Incomplete Primary,0.03
Albania,2015,80--84,Lower Secondary,0.20
Albania,2015,80--84,No Education,0.21
Albania,2015,80--84,Post Secondary,0.03
Albania,2015,80--84,Primary,0.35
Albania,2015,80--84,Total,1.00
Albania,2015,80--84,Under 15,0.00
Albania,2015,80--84,Upper Secondary,0.17
Albania,2015,85--89,Incomplete Primary,0.04
Albania,2015,85--89,Lower Secondary,0.11
Albania,2015,85--89,No Education,0.39
Albania,2015,85--89,Post Secondary,0.05
Albania,2015,85--89,Primary,0.28
Albania,2015,85--89,Total,1.00
Albania,2015,85--89,Under 15,0.00
Albania,2015,85--89,Upper Secondary,0.13
Albania,2015,90--94,Incomplete Primary,0.01
Albania,2015,90--94,Lower Secondary,0.07
Albania,2015,90--94,No Education,0.56
Albania,2015,90--94,Post Secondary,0.05
Albania,2015,90--94,Primary,0.23
Albania,2015,90--94,Total,1.00
Albania,2015,90--94,Under 15,0.00
Albania,2015,90--94,Upper Secondary,0.08
Albania,2015,95--99,Incomplete Primary,0.02
Albania,2015,95--99,Lower Secondary,0.05
Albania,2015,95--99,No Education,0.66
Albania,2015,95--99,Post Secondary,0.03
Albania,2015,95--99,Primary,0.19
Albania,2015,95--99,Total,1.00
Albania,2015,95--99,Under 15,0.00
Albania,2015,95--99,Upper Secondary,0.06
Algeria,2015,100+,Incomplete Primary,0.01
Algeria,2015,100+,Lower Secondary,0.00
Algeria,2015,100+,No Education,0.99
Algeria,2015,100+,Post Secondary,0.00
Algeria,2015,100+,Primary,0.00
Algeria,2015,100+,Total,1.00
Algeria,2015,100+,Under 15,0.00
Algeria,2015,100+,Upper Secondary,0.00
Algeria,2015,15--19,Incomplete Primary,0.02
Algeria,2015,15--19,Lower Secondary,0.43
Algeria,2015,15--19,No Education,0.02
Algeria,2015,15--19,Post Secondary,0.06
Algeria,2015,15--19,Primary,0.05
Algeria,2015,15--19,Total,1.00
Algeria,2015,15--19,Under 15,0.00
Algeria,2015,15--19,Upper Secondary,0.42
Algeria,2015,20--24,Incomplete Primary,0.02
Algeria,2015,20--24,Lower Secondary,0.32
Algeria,2015,20--24,No Education,0.02
Algeria,2015,20--24,Post Secondary,0.22
Algeria,2015,20--24,Primary,0.08
Algeria,2015,20--24,Total,1.00
Algeria,2015,20--24,Under 15,0.00
Algeria,2015,20--24,Upper Secondary,0.33
Algeria,2015,25--29,Incomplete Primary,0.02
Algeria,2015,25--29,Lower Secondary,0.27
Algeria,2015,25--29,No Education,0.04
Algeria,2015,25--29,Post Secondary,0.20
Algeria,2015,25--29,Primary,0.09
Algeria,2015,25--29,Total,1.00
Algeria,2015,25--29,Under 15,0.00
Algeria,2015,25--29,Upper Secondary,0.40
Algeria,2015,30--34,Incomplete Primary,0.02
Algeria,2015,30--34,Lower Secondary,0.31
Algeria,2015,30--34,No Education,0.05
Algeria,2015,30--34,Post Secondary,0.17
Algeria,2015,30--34,Primary,0.08
Algeria,2015,30--34,Total,1.00
Algeria,2015,30--34,Under 15,0.00
Algeria,2015,30--34,Upper Secondary,0.37
Algeria,2015,35--39,Incomplete Primary,0.03
Algeria,2015,35--39,Lower Secondary,0.33
Algeria,2015,35--39,No Education,0.08
Algeria,2015,35--39,Post Secondary,0.15
Algeria,2015,35--39,Primary,0.09
Algeria,2015,35--39,Total,1.00
Algeria,2015,35--39,Under 15,0.00
Algeria,2015,35--39,Upper Secondary,0.32
Algeria,2015,40--44,Incomplete Primary,0.05
Algeria,2015,40--44,Lower Secondary,0.35
Algeria,2015,40--44,No Education,0.13
Algeria,2015,40--44,Post Secondary,0.10
Algeria,2015,40--44,Primary,0.09
Algeria,2015,40--44,Total,1.00
Algeria,2015,40--44,Under 15,0.00
Algeria,2015,40--44,Upper Secondary,0.29
Algeria,2015,45--49,Incomplete Primary,0.05
Algeria,2015,45--49,Lower Secondary,0.28
Algeria,2015,45--49,No Education,0.21
Algeria,2015,45--49,Post Secondary,0.07
Algeria,2015,45--49,Primary,0.15
Algeria,2015,45--49,Total,1.00
Algeria,2015,45--49,Under 15,0.00
Algeria,2015,45--49,Upper Secondary,0.24
Algeria,2015,50--54,Incomplete Primary,0.06
Algeria,2015,50--54,Lower Secondary,0.23
Algeria,2015,50--54,No Education,0.28
Algeria,2015,50--54,Post Secondary,0.06
Algeria,2015,50--54,Primary,0.19
Algeria,2015,50--54,Total,1.00
Algeria,2015,50--54,Under 15,0.00
Algeria,2015,50--54,Upper Secondary,0.18
Algeria,2015,55--59,Incomplete Primary,0.06
Algeria,2015,55--59,Lower Secondary,0.19
Algeria,2015,55--59,No Education,0.39
Algeria,2015,55--59,Post Secondary,0.04
Algeria,2015,55--59,Primary,0.18
Algeria,2015,55--59,Total,1.00
Algeria,2015,55--59,Under 15,0.00
Algeria,2015,55--59,Upper Secondary,0.13
Algeria,2015,60--64,Incomplete Primary,0.08
Algeria,2015,60--64,Lower Secondary,0.16
Algeria,2015,60--64,No Education,0.47
Algeria,2015,60--64,Post Secondary,0.05
Algeria,2015,60--64,Primary,0.16
Algeria,2015,60--64,Total,1.00
Algeria,2015,60--64,Under 15,0.00
Algeria,2015,60--64,Upper Secondary,0.10
Algeria,2015,65--69,Incomplete Primary,0.08
Algeria,2015,65--69,Lower Secondary,0.13
Algeria,2015,65--69,No Education,0.55
Algeria,2015,65--69,Post Secondary,0.04
Algeria,2015,65--69,Primary,0.14
Algeria,2015,65--69,Total,1.00
Algeria,2015,65--69,Under 15,0.00
Algeria,2015,65--69,Upper Secondary,0.07
Algeria,2015,70--74,Incomplete Primary,0.06
Algeria,2015,70--74,Lower Secondary,0.07
Algeria,2015,70--74,No Education,0.69
Algeria,2015,70--74,Post Secondary,0.04
Algeria,2015,70--74,Primary,0.09
Algeria,2015,70--74,Total,1.00
Algeria,2015,70--74,Under 15,0.00
Algeria,2015,70--74,Upper Secondary,0.05
Algeria,2015,75--79,Incomplete Primary,0.04
Algeria,2015,75--79,Lower Secondary,0.04
Algeria,2015,75--79,No Education,0.80
Algeria,2015,75--79,Post Secondary,0.02
Algeria,2015,75--79,Primary,0.07
Algeria,2015,75--79,Total,1.00
Algeria,2015,75--79,Under 15,0.00
Algeria,2015,75--79,Upper Secondary,0.03
Algeria,2015,80--84,Incomplete Primary,0.03
Algeria,2015,80--84,Lower Secondary,0.03
Algeria,2015,80--84,No Education,0.88
Algeria,2015,80--84,Post Secondary,0.01
Algeria,2015,80--84,Primary,0.04
Algeria,2015,80--84,Total,1.00
Algeria,2015,80--84,Under 15,0.00
Algeria,2015,80--84,Upper Secondary,0.01
Algeria,2015,85--89,Incomplete Primary,0.03
Algeria,2015,85--89,Lower Secondary,0.02
Algeria,2015,85--89,No Education,0.91
Algeria,2015,85--89,Post Secondary,0.01
Algeria,2015,85--89,Primary,0.03
Algeria,2015,85--89,Total,1.00
Algeria,2015,85--89,Under 15,0.00
Algeria,2015,85--89,Upper Secondary,0.01
Algeria,2015,90--94,Incomplete Primary,0.02
Algeria,2015,90--94,Lower Secondary,0.01
Algeria,2015,90--94,No Education,0.95
Algeria,2015,90--94,Post Secondary,0.00
Algeria,2015,90--94,Primary,0.02
Algeria,2015,90--94,Total,1.00
Algeria,2015,90--94,Under 15,0.00
Algeria,2015,90--94,Upper Secondary,0.00
Algeria,2015,95--99,Incomplete Primary,0.01
Algeria,2015,95--99,Lower Secondary,0.00
Algeria,2015,95--99,No Education,0.98
Algeria,2015,95--99,Post Secondary,0.00
Algeria,2015,95--99,Primary,0.01
Algeria,2015,95--99,Total,1.00
Algeria,2015,95--99,Under 15,0.00
Algeria,2015,95--99,Upper Secondary,0.00
Angola,2015,100+,Incomplete Primary,0.06
Angola,2015,100+,Lower Secondary,0.01
Angola,2015,100+,No Education,0.92
Angola,2015,100+,Post Secondary,0.00
Angola,2015,100+,Primary,0.01
Angola,2015,100+,Total,1.00
Angola,2015,100+,Under 15,0.00
Angola,2015,100+,Upper Secondary,0.00
Angola,2015,15--19,Incomplete Primary,0.32
Angola,2015,15--19,Lower Secondary,0.24
Angola,2015,15--19,No Education,0.12
Angola,2015,15--19,Post Secondary,0.00
Angola,2015,15--19,Primary,0.30
Angola,2015,15--19,Total,1.00
Angola,2015,15--19,Under 15,0.00
Angola,2015,15--19,Upper Secondary,0.01
Angola,2015,20--24,Incomplete Primary,0.21
Angola,2015,20--24,Lower Secondary,0.28
Angola,2015,20--24,No Education,0.14
Angola,2015,20--24,Post Secondary,0.02
Angola,2015,20--24,Primary,0.24
Angola,2015,20--24,Total,1.00
Angola,2015,20--24,Under 15,0.00
Angola,2015,20--24,Upper Secondary,0.11
Angola,2015,25--29,Incomplete Primary,0.20
Angola,2015,25--29,Lower Secondary,0.22
Angola,2015,25--29,No Education,0.16
Angola,2015,25--29,Post Secondary,0.04
Angola,2015,25--29,Primary,0.23
Angola,2015,25--29,Total,1.00
Angola,2015,25--29,Under 15,0.00
Angola,2015,25--29,Upper Secondary,0.14
Angola,2015,30--34,Incomplete Primary,0.19
Angola,2015,30--34,Lower Secondary,0.23
Angola,2015,30--34,No Education,0.16
Angola,2015,30--34,Post Secondary,0.05
Angola,2015,30--34,Primary,0.22
Angola,2015,30--34,Total,1.00
Angola,2015,30--34,Under 15,0.00
Angola,2015,30--34,Upper Secondary,0.15
Angola,2015,35--39,Incomplete Primary,0.19
Angola,2015,35--39,Lower Secondary,0.23
Angola,2015,35--39,No Education,0.16
Angola,2015,35--39,Post Secondary,0.05
Angola,2015,35--39,Primary,0.22
Angola,2015,35--39,Total,1.00
Angola,2015,35--39,Under 15,0.00
Angola,2015,35--39,Upper Secondary,0.15
Angola,2015,40--44,Incomplete Primary,0.21
Angola,2015,40--44,Lower Secondary,0.22
Angola,2015,40--44,No Education,0.20
Angola,2015,40--44,Post Secondary,0.04
Angola,2015,40--44,Primary,0.20
Angola,2015,40--44,Total,1.00
Angola,2015,40--44,Under 15,0.00
Angola,2015,40--44,Upper Secondary,0.13
Angola,2015,45--49,Incomplete Primary,0.20
Angola,2015,45--49,Lower Secondary,0.21
Angola,2015,45--49,No Education,0.22
Angola,2015,45--49,Post Secondary,0.05
Angola,2015,45--49,Primary,0.20
Angola,2015,45--49,Total,1.00
Angola,2015,45--49,Under 15,0.00
Angola,2015,45--49,Upper Secondary,0.12
Angola,2015,50--54,Incomplete Primary,0.23
Angola,2015,50--54,Lower Secondary,0.19
Angola,2015,50--54,No Education,0.26
Angola,2015,50--54,Post Secondary,0.04
Angola,2015,50--54,Primary,0.18
Angola,2015,50--54,Total,1.00
Angola,2015,50--54,Under 15,0.00
Angola,2015,50--54,Upper Secondary,0.10
Angola,2015,55--59,Incomplete Primary,0.24
Angola,2015,55--59,Lower Secondary,0.17
Angola,2015,55--59,No Education,0.30
Angola,2015,55--59,Post Secondary,0.04
Angola,2015,55--59,Primary,0.16
Angola,2015,55--59,Total,1.00
Angola,2015,55--59,Under 15,0.00
Angola,2015,55--59,Upper Secondary,0.08
Angola,2015,60--64,Incomplete Primary,0.22
Angola,2015,60--64,Lower Secondary,0.13
Angola,2015,60--64,No Education,0.40
Angola,2015,60--64,Post Secondary,0.04
Angola,2015,60--64,Primary,0.14
Angola,2015,60--64,Total,1.00
Angola,2015,60--64,Under 15,0.00
Angola,2015,60--64,Upper Secondary,0.07
Angola,2015,65--69,Incomplete Primary,0.23
Angola,2015,65--69,Lower Secondary,0.12
Angola,2015,65--69,No Education,0.45
Angola,2015,65--69,Post Secondary,0.03
Angola,2015,65--69,Primary,0.11
Angola,2015,65--69,Total,1.00
Angola,2015,65--69,Under 15,0.00
Angola,2015,65--69,Upper Secondary,0.06
Angola,2015,70--74,Incomplete Primary,0.20
Angola,2015,70--74,Lower Secondary,0.07
Angola,2015,70--74,No Education,0.58
Angola,2015,70--74,Post Secondary,0.02
Angola,2015,70--74,Primary,0.09
Angola,2015,70--74,Total,1.00
Angola,2015,70--74,Under 15,0.00
Angola,2015,70--74,Upper Secondary,0.04
Angola,2015,75--79,Incomplete Primary,0.22
Angola,2015,75--79,Lower Secondary,0.07
Angola,2015,75--79,No Education,0.62
Angola,2015,75--79,Post Secondary,0.01
Angola,2015,75--79,Primary,0.06
Angola,2015,75--79,Total,1.00
Angola,2015,75--79,Under 15,0.00
Angola,2015,75--79,Upper Secondary,0.02
Angola,2015,80--84,Incomplete Primary,0.17
Angola,2015,80--84,Lower Secondary,0.05
Angola,2015,80--84,No Education,0.70
Angola,2015,80--84,Post Secondary,0.01
Angola,2015,80--84,Primary,0.05
Angola,2015,80--84,Total,1.00
Angola,2015,80--84,Under 15,0.00
Angola,2015,80--84,Upper Secondary,0.02
Angola,2015,85--89,Incomplete Primary,0.15
Angola,2015,85--89,Lower Secondary,0.03
Angola,2015,85--89,No Education,0.75
Angola,2015,85--89,Post Secondary,0.01
Angola,2015,85--89,Primary,0.04
Angola,2015,85--89,Total,1.00
Angola,2015,85--89,Under 15,0.00
Angola,2015,85--89,Upper Secondary,0.01
Angola,2015,90--94,Incomplete Primary,0.12
Angola,2015,90--94,Lower Secondary,0.02
Angola,2015,90--94,No Education,0.81
Angola,2015,90--94,Post Secondary,0.00
Angola,2015,90--94,Primary,0.03
Angola,2015,90--94,Total,1.00
Angola,2015,90--94,Under 15,0.00
Angola,2015,90--94,Upper Secondary,0.01
Angola,2015,95--99,Incomplete Primary,0.10
Angola,2015,95--99,Lower Secondary,0.01
Angola,2015,95--99,No Education,0.87
Angola,2015,95--99,Post Secondary,0.00
Angola,2015,95--99,Primary,0.02
Angola,2015,95--99,Total,1.00
Angola,2015,95--99,Under 15,0.00
Angola,2015,95--99,Upper Secondary,0.00
Argentina,2015,100+,Incomplete Primary,0.31
Argentina,2015,100+,Lower Secondary,0.03
Argentina,2015,100+,No Education,0.13
Argentina,2015,100+,Post Secondary,0.05
Argentina,2015,100+,Primary,0.38
Argentina,2015,100+,Total,1.00
Argentina,2015,100+,Under 15,0.00
Argentina,2015,100+,Upper Secondary,0.10
Argentina,2015,15--19,Incomplete Primary,0.05
Argentina,2015,15--19,Lower Secondary,0.63
Argentina,2015,15--19,No Education,0.00
Argentina,2015,15--19,Post Secondary,0.00
Argentina,2015,15--19,Primary,0.16
Argentina,2015,15--19,Total,1.00
Argentina,2015,15--19,Under 15,0.00
Argentina,2015,15--19,Upper Secondary,0.15
Argentina,2015,20--24,Incomplete Primary,0.03
Argentina,2015,20--24,Lower Secondary,0.16
Argentina,2015,20--24,No Education,0.01
Argentina,2015,20--24,Post Secondary,0.06
Argentina,2015,20--24,Primary,0.20
Argentina,2015,20--24,Total,1.00
Argentina,2015,20--24,Under 15,0.00
Argentina,2015,20--24,Upper Secondary,0.54
Argentina,2015,25--29,Incomplete Primary,0.03
Argentina,2015,25--29,Lower Secondary,0.13
Argentina,2015,25--29,No Education,0.01
Argentina,2015,25--29,Post Secondary,0.16
Argentina,2015,25--29,Primary,0.22
Argentina,2015,25--29,Total,1.00
Argentina,2015,25--29,Under 15,0.00
Argentina,2015,25--29,Upper Secondary,0.45
Argentina,2015,30--34,Incomplete Primary,0.04
Argentina,2015,30--34,Lower Secondary,0.15
Argentina,2015,30--34,No Education,0.01
Argentina,2015,30--34,Post Secondary,0.21
Argentina,2015,30--34,Primary,0.21
Argentina,2015,30--34,Total,1.00
Argentina,2015,30--34,Under 15,0.00
Argentina,2015,30--34,Upper Secondary,0.38
Argentina,2015,35--39,Incomplete Primary,0.05
Argentina,2015,35--39,Lower Secondary,0.16
Argentina,2015,35--39,No Education,0.01
Argentina,2015,35--39,Post Secondary,0.19
Argentina,2015,35--39,Primary,0.23
Argentina,2015,35--39,Total,1.00
Argentina,2015,35--39,Under 15,0.00
Argentina,2015,35--39,Upper Secondary,0.36
Argentina,2015,40--44,Incomplete Primary,0.07
Argentina,2015,40--44,Lower Secondary,0.17
Argentina,2015,40--44,No Education,0.02
Argentina,2015,40--44,Post Secondary,0.17
Argentina,2015,40--44,Primary,0.25
Argentina,2015,40--44,Total,1.00
Argentina,2015,40--44,Under 15,0.00
Argentina,2015,40--44,Upper Secondary,0.33
Argentina,2015,45--49,Incomplete Primary,0.08
Argentina,2015,45--49,Lower Secondary,0.15
Argentina,2015,45--49,No Education,0.02
Argentina,2015,45--49,Post Secondary,0.15
